model,replicate,auc,flip_rate,probability_mae,vector_cosine_distance,vector_euclidean_distance
logit,93,0.6060839826171925,0.2415115005476451,0.16498563768225552,0.5497731149129249,2.3244819331991597
xgb,93,0.6290333048028026,0.2677984665936473,0.12705233693122864,0.08485722541809082,0.03794467821717262
logit,94,0.596038297033437,0.1746987951807229,0.09504238009427828,0.2678183418148036,1.0825577031205016
xgb,94,0.6221933243456039,0.1976998904709748,0.09714290499687195,0.06267410516738892,0.032060716301202774
logit,95,0.5681151115078447,0.08433734939759036,0.05363751859291668,0.1507247107207237,0.9438732469415922
xgb,95,0.5884734206881858,0.16374589266155531,0.0798545777797699,0.08975321054458618,0.03869018331170082
logit,96,0.5931178972141712,0.1484118291347207,0.09951258367399671,0.2388489219105313,1.2375716855378474
xgb,96,0.6280635116552727,0.22453450164293537,0.10733773559331894,0.10633325576782227,0.04206811636686325
logit,97,0.6104945822603772,0.12267250821467689,0.06917245249639811,0.1871536955061227,1.0050207079376041
xgb,97,0.6391916431259177,0.18127053669222343,0.08709926903247833,0.06585782766342163,0.0326865129172802
logit,98,0.5674918479824751,0.140197152245345,0.09320677023297932,0.18489338444511827,1.197933674762683
xgb,98,0.5949019737494627,0.20481927710843373,0.09881891310214996,0.10722553730010986,0.04330535978078842
logit,99,0.5954334008025284,0.12431544359255203,0.09644274181596928,0.17715208722593423,1.243063618210438
xgb,99,0.6177827247024192,0.2677984665936473,0.12929128110408783,0.10872828960418701,0.04375098645687103
logit,100,0.5509343442692205,0.21139101861993428,0.1474329907389154,0.6304597966301266,2.407251007526769
xgb,100,0.6122088630767177,0.23603504928806135,0.11775314807891846,0.11557579040527344,0.044890064746141434
logit,101,0.5338050054550865,0.1982475355969332,0.13375868210011904,0.3752323915353595,1.8739344584360407
xgb,101,0.5894150506508756,0.2294633077765608,0.10598722845315933,0.07865041494369507,0.03578716889023781
logit,102,0.5586033019497496,0.16538882803943045,0.11069024695415851,0.27578732354496605,1.6498586988593211
xgb,102,0.6089174439093439,0.2212486308871851,0.10117170959711075,0.09051656723022461,0.03898867964744568
logit,103,0.5799865061610028,0.12267250821467689,0.07468002401956939,0.10163288250700997,0.6552569662175075
xgb,103,0.6213557757181918,0.1900328587075575,0.08921917527914047,0.09473830461502075,0.03946470096707344
logit,104,0.6143382447478722,0.11281489594742607,0.06940843271870369,0.09729947688809071,0.6378130585559153
xgb,104,0.6267533113170697,0.1741511500547645,0.09262681007385254,0.05980539321899414,0.03130193427205086
logit,105,0.5853681234380147,0.14238773274917854,0.09644597198304364,0.18035232183072936,1.200221442191507
xgb,105,0.616468850905324,0.20810514786418402,0.09490703046321869,0.08666282892227173,0.03808802366256714
logit,106,0.5565669812371965,0.18893756845564075,0.11942877292456641,0.22054095312822608,1.0498059749887505
xgb,106,0.6063692879244834,0.21905805038335158,0.11044832319021225,0.0666918158531189,0.0331883430480957
logit,107,0.5424523276872271,0.19386637458926614,0.12878779466215529,0.22415004279965467,1.3896994701549452
xgb,107,0.6215969995187769,0.19934282584884994,0.10135561972856522,0.08529061079025269,0.03739631548523903
logit,108,0.6059480646381827,0.19605695509309967,0.12798431911197886,0.2813258502762558,1.5676049419226512
xgb,108,0.5955840126171068,0.23822562979189485,0.1203940361738205,0.0875195860862732,0.03855924308300018
logit,109,0.5674551133935535,0.09857612267250822,0.07130802713963183,0.21997217403816294,1.1268264736647713
xgb,109,0.6036741935839367,0.1955093099671413,0.0883161723613739,0.07377862930297852,0.034805797040462494
logit,110,0.5911734129739221,0.26506024096385544,0.18013636585431783,0.5375044061374024,2.1116436527896485
xgb,110,0.612028863591002,0.2858707557502738,0.1333337128162384,0.09822195768356323,0.04039556905627251
logit,111,0.5331731705256353,0.18893756845564075,0.11824903036040754,0.2994217095086903,1.2929943863450957
xgb,111,0.5899728041593351,0.2031763417305586,0.10287565737962723,0.09785276651382446,0.040473707020282745
logit,112,0.5744714198775759,0.14403066812705367,0.08469596283641265,0.18393420347684153,1.0091980696808152
xgb,112,0.5836758833750271,0.22562979189485213,0.10843637585639954,0.0878758430480957,0.03829473257064819
logit,113,0.5578649367124258,0.21631982475355968,0.1439257974120121,0.4501963299380527,2.0130070612361264
xgb,113,0.5992611449681572,0.23274917853231106,0.12071027606725693,0.11678433418273926,0.044445108622312546
logit,114,0.55093924221441,0.1927710843373494,0.11809055834894462,0.25072809621982195,1.2184694167135297
xgb,114,0.5911819843780038,0.2294633077765608,0.11162765324115753,0.07841449975967407,0.03644361346960068
logit,115,0.595302380768708,0.11993428258488499,0.07287308323315908,0.1424571811921308,0.9088017742016335
xgb,115,0.6266651483036579,0.18893756845564075,0.09000188857316971,0.06258785724639893,0.03204553201794624
logit,116,0.5866452626461883,0.17250821467688937,0.09229069677558456,0.21995216667145534,0.9718862563830559
xgb,116,0.6018509334871288,0.17853231106243153,0.09121328592300415,0.09257906675338745,0.03981979563832283
logit,117,0.5865644465505608,0.15498357064622126,0.09564147664790115,0.1276837023263474,0.7723889727677222
xgb,117,0.5857397550292713,0.2294633077765608,0.11315637081861496,0.06831824779510498,0.03342459350824356
logit,118,0.5637167567276339,0.25903614457831325,0.16520600763809254,0.3287131347236094,1.4796679309692893
xgb,118,0.5918701456771348,0.24260679079956188,0.12386792153120041,0.10338646173477173,0.0415923111140728
logit,119,0.6106733572597955,0.18674698795180722,0.1274092634262242,0.37280017745231997,1.5801464543976427
xgb,119,0.6325683967433562,0.21960569550930997,0.10961441695690155,0.1288633942604065,0.0472857803106308
logit,120,0.5574253461316641,0.14403066812705367,0.08567931127386429,0.19122202448592152,1.1420096765710586
xgb,120,0.5847069008374262,0.21467688937568455,0.10182888805866241,0.06437784433364868,0.0325210802257061
logit,121,0.5980525769926371,0.21741511500547644,0.1332668216955098,0.2429053667876807,1.2936140514385877
xgb,121,0.622675771946774,0.2185104052573932,0.1186998263001442,0.10309058427810669,0.0418790765106678
logit,122,0.599704409007811,0.13581599123767799,0.09100125002786569,0.14621287374553038,0.9217819712142952
xgb,122,0.6402349054512906,0.20262869660460023,0.1007624939084053,0.08811801671981812,0.0382395014166832
logit,123,0.5815232364642223,0.12869660460021906,0.08792784087818677,0.21448723137158165,1.2680237226341995
xgb,123,0.61995128993509,0.23329682365826945,0.10767117887735367,0.14808756113052368,0.05220083147287369
logit,124,0.607052551278425,0.12705366922234393,0.07055346597417825,0.1509877019971777,0.8930405243466577
xgb,124,0.6296651397322539,0.19660460021905804,0.09169092774391174,0.1342725157737732,0.04864345118403435
logit,125,0.5522849526552374,0.16210295728368018,0.1032890716516548,0.31646862255730324,1.788612886179091
xgb,125,0.6062676555618005,0.20481927710843373,0.09923610836267471,0.07497572898864746,0.035690490156412125
logit,126,0.5677624594541975,0.17798466593647316,0.1177188023157454,0.5047330043706575,1.9990837604842213
xgb,126,0.6351643076938147,0.21412924424972618,0.10979587584733963,0.08183050155639648,0.03678205609321594
logit,127,0.5976546189459867,0.17250821467688937,0.11940131255951593,0.20177533345804832,1.1840370368323239
xgb,127,0.6048350065938587,0.21303395399780942,0.10591690242290497,0.09061980247497559,0.03884776309132576
logit,128,0.5708628587591791,0.1714129244249726,0.12048057972277701,0.30805921572469286,1.5354943555036291
xgb,128,0.6163843613508043,0.2322015334063527,0.11543811857700348,0.08453547954559326,0.03770781680941582
logit,129,0.62626596577071,0.21796276013143484,0.13676184037545902,0.2717182152346522,1.333739390610602
xgb,129,0.619488434114678,0.21193866374589265,0.11309472471475601,0.09206521511077881,0.039316192269325256
